,nationality,num_players,avg_age,destination_breakdown,continent
0,France,120,26.0,"Serie A (35), Premier League (32), Bundesliga (32), La Liga (21)",Europe
1,Brazil,95,26.9,"Premier League (29), Serie A (24), La Liga (19), Ligue 1 (16), Bundesliga (7)",South America
2,Argentina,73,27.4,"La Liga (27), Serie A (25), Premier League (14), Ligue 1 (5), Bundesliga (2)",South America
3,Portugal,69,26.2,"Premier League (22), Ligue 1 (15), Serie A (14), La Liga (13), Bundesliga (5)",Europe
4,Netherlands,59,27.3,"Premier League (18), Serie A (17), Bundesliga (13), Ligue 1 (7), La Liga (4)",Europe
5,Spain,58,26.6,"Premier League (21), Serie A (19), Ligue 1 (10), Bundesliga (8)",Europe
6,Belgium,54,25.5,"Premier League (16), Bundesliga (11), Ligue 1 (11), La Liga (8), Serie A (8)",Europe
7,Denmark,40,26.7,"Bundesliga (13), Premier League (12), Serie A (11), Ligue 1 (2), La Liga (2)",Europe
8,Ivory Coast,39,25.6,"Ligue 1 (18), Serie A (8), Premier League (6), La Liga (4), Bundesliga (3)",Africa
9,Serbia,37,27.0,"Serie A (17), La Liga (11), Ligue 1 (4), Bundesliga (3), Premier League (2)",Europe
10,Senegal,37,25.2,"Ligue 1 (21), La Liga (6), Premier League (5), Serie A (4), Bundesliga (1)",Africa
11,Switzerland,34,27.7,"Ligue 1 (12), Bundesliga (11), Serie A (6), Premier League (4), La Liga (1)",Europe
12,Austria,34,28.4,"Bundesliga (27), Serie A (4), Ligue 1 (2), La Liga (1)",Europe
13,Poland,32,27.3,"Serie A (15), Premier League (6), Ligue 1 (4), Bundesliga (4), La Liga (3)",Europe
14,Nigeria,29,25.8,"Serie A (12), Premier League (8), Ligue 1 (5), Bundesliga (2), La Liga (2)",Africa
15,Morocco,29,26.2,"Ligue 1 (12), La Liga (7), Serie A (6), Premier League (2), Bundesliga (2)",Africa
16,Ghana,28,27.4,"Ligue 1 (7), Premier League (6), La Liga (5), Bundesliga (5), Serie A (5)",Africa
17,Germany,25,28.1,"Premier League (11), Serie A (8), La Liga (4), Ligue 1 (2)",Europe
18,Croatia,25,27.9,"Bundesliga (10), Serie A (9), Ligue 1 (2), La Liga (2), Premier League (2)",Europe
19,Sweden,24,24.9,"Bundesliga (7), Premier League (7), Serie A (6), Ligue 1 (2), La Liga (2)",Europe
20,USA,24,25.6,"Bundesliga (8), Premier League (7), Serie A (4), La Liga (3), Ligue 1 (2)",North America
21,Cameroon,24,25.2,"Ligue 1 (12), Premier League (4), Serie A (4), La Liga (3), Bundesliga (1)",Africa
22,Uruguay,24,27.2,"La Liga (14), Serie A (5), Premier League (3), Ligue 1 (2)",South America
23,Norway,22,25.0,"Serie A (6), Bundesliga (5), Premier League (5), La Liga (4), Ligue 1 (2)",Europe
24,Ireland,22,25.4,"Premier League (17), Serie A (2), Ligue 1 (1), Bundesliga (1), La Liga (1)",Europe
25,Algeria,22,25.5,"Ligue 1 (13), La Liga (3), Serie A (3), Bundesliga (2), Premier League (1)",Africa
26,Mali,20,26.2,"Ligue 1 (7), La Liga (6), Premier League (4), Serie A (2), Bundesliga (1)",Africa
27,Scotland,18,25.1,"Premier League (14), Serie A (2), Bundesliga (1), La Liga (1)",Europe
28,Colombia,18,27.8,"Premier League (6), La Liga (5), Serie A (5), Ligue 1 (1), Bundesliga (1)",South America
29,Albania,18,24.2,"Serie A (13), Premier League (2), La Liga (2), Bundesliga (1)",Europe
30,England,18,25.7,"Serie A (7), Bundesliga (6), Ligue 1 (3), La Liga (2)",Europe
31,Japan,17,27.5,"Bundesliga (9), Premier League (4), Ligue 1 (2), La Liga (1), Serie A (1)",Asia
32,Czech Republic,17,26.9,"Bundesliga (10), Serie A (4), Premier League (2), La Liga (1)",Europe
33,Greece,15,27.0,"Serie A (7), Premier League (3), La Liga (3), Bundesliga (1), Ligue 1 (1)",Europe
34,Italy,14,27.0,"Premier League (8), Bundesliga (3), Ligue 1 (2), La Liga (1)",Europe
35,Slovakia,13,28.1,"Serie A (5), La Liga (3), Ligue 1 (2), Premier League (2), Bundesliga (1)",Europe
36,Turkey,13,24.5,"Serie A (4), Premier League (3), Ligue 1 (2), Bundesliga (2), La Liga (2)",Europe
37,Ukraine,12,26.8,"Premier League (5), La Liga (4), Serie A (2), Bundesliga (1)",Europe
38,Romania,12,23.8,"Serie A (7), La Liga (3), Premier League (2)",Europe
39,Hungary,10,26.6,"Bundesliga (5), La Liga (2), Premier League (2), Ligue 1 (1)",Europe
40,DR Congo,10,27.6,"Ligue 1 (4), Premier League (3), La Liga (2), Bundesliga (1)",Africa
41,Slovenia,9,23.9,"Serie A (6), Bundesliga (2), La Liga (1)",Europe
42,Guinea,9,26.1,"Bundesliga (3), Ligue 1 (3), La Liga (2), Serie A (1)",Africa
43,Kosovo,8,29.0,"Serie A (2), Bundesliga (2), Ligue 1 (2), Premier League (1), La Liga (1)",Europe
44,South Korea,7,27.1,"Bundesliga (3), Premier League (3), Ligue 1 (1)",Asia
45,Georgia,7,22.9,"Serie A (4), La Liga (2), Ligue 1 (1)",Europe
46,Tunisia,7,26.9,"Ligue 1 (3), Bundesliga (2), Serie A (1), La Liga (1)",Africa
47,Jamaica,6,30.7,"Premier League (5), Ligue 1 (1)",Central America
48,Australia,6,22.7,"Premier League (3), Bundesliga (1), Serie A (1), Ligue 1 (1)",Oceania
49,Ecuador,6,23.2,"Bundesliga (3), Premier League (2), Ligue 1 (1)",South America
50,Finland,6,24.5,"Bundesliga (3), Ligue 1 (1), Premier League (1), Serie A (1)",Europe
51,Mexico,6,29.5,"Premier League (2), La Liga (2), Serie A (2)",North America
52,Canada,6,24.5,"La Liga (2), Bundesliga (1), Serie A (1), Ligue 1 (1), Premier League (1)",North America
53,Paraguay,6,25.2,"Premier League (3), Serie A (2), La Liga (1)",South America
54,Gabon,6,27.8,"Ligue 1 (4), Serie A (1), Premier League (1)",Africa
55,Bosnia-Herzegovina,6,26.5,"Serie A (3), Bundesliga (2), Ligue 1 (1)",Europe
56,Northern Ireland,5,23.6,Premier League (5),Europe
57,Chile,5,33.4,"Ligue 1 (2), Premier League (1), Serie A (1), La Liga (1)",South America
58,Burkina Faso,5,24.6,"Premier League (2), La Liga (1), Ligue 1 (1), Bundesliga (1)",Africa
59,Equatorial Guinea,5,27.6,"Serie A (2), La Liga (2), Ligue 1 (1)",Africa
60,Venezuela,5,24.8,"La Liga (4), Ligue 1 (1)",South America
61,Egypt,4,29.3,"Premier League (2), Ligue 1 (1), Bundesliga (1)",Africa
62,Israel,4,24.3,"Bundesliga (2), Serie A (1), Premier League (1)",Europe
63,Iceland,4,26.5,"Premier League (2), Ligue 1 (1), Serie A (1)",Europe
64,Zimbabwe,4,28.0,"Ligue 1 (2), Premier League (1), Serie A (1)",Africa
65,Angola,4,28.8,"Ligue 1 (2), Serie A (2)",Africa
66,Russia,4,27.8,"Ligue 1 (2), Serie A (1), La Liga (1)",Europe
67,Comoros,4,21.8,Ligue 1 (4),Africa
68,Congo,3,24.0,"Serie A (1), La Liga (1), Ligue 1 (1)",Africa
69,Armenia,3,29.7,"Bundesliga (2), Serie A (1)",Europe
70,Montenegro,3,30.3,"Serie A (2), La Liga (1)",Europe
71,Cyprus,3,22.7,"Serie A (2), La Liga (1)",Europe
72,Benin,3,25.7,"Ligue 1 (2), La Liga (1)",Africa
73,North Macedonia,3,26.7,"Bundesliga (2), La Liga (1)",Europe
74,Central African Republic,3,31.0,Ligue 1 (3),Africa
75,Haiti,3,23.0,Ligue 1 (3),Central America
76,Estonia,2,22.0,"Premier League (1), Serie A (1)",Europe
77,South Africa,2,26.5,"Premier League (1), Ligue 1 (1)",Africa
78,New Zealand,2,28.5,"Premier League (1), Serie A (1)",Oceania
79,Iran,2,30.5,"Premier League (1), Serie A (1)",Asia
80,Peru,2,32.0,"La Liga (1), Serie A (1)",South America
81,Uzbekistan,2,25.0,"Ligue 1 (1), Serie A (1)",Asia
82,Bulgaria,2,20.0,Serie A (2),Europe
83,Zambia,2,23.0,Serie A (2),Africa
84,Suriname,2,30.5,"Serie A (1), La Liga (1)",South America
85,Martinique,2,27.5,"Serie A (1), Ligue 1 (1)",Central America
86,Mozambique,2,29.0,La Liga (2),Africa
87,Togo,2,32.0,"Bundesliga (1), La Liga (1)",Africa
88,Cape Verde Islands,2,29.0,"Ligue 1 (1), La Liga (1)",Africa
89,Guadeloupe,2,27.5,"La Liga (1), Ligue 1 (1)",Central America
90,Dominican Republic,2,26.0,La Liga (2),Central America
91,Syria,2,27.0,"Bundesliga (1), La Liga (1)",Asia
92,Costa Rica,2,36.5,"Ligue 1 (1), Bundesliga (1)",Central America
93,Gambia,2,23.0,"Ligue 1 (1), Bundesliga (1)",Africa
94,Grenada,1,27.0,Premier League (1),Central America
95,Lithuania,1,21.0,Serie A (1),Europe
96,Andorra,1,23.0,La Liga (1),Europe
97,Honduras,1,32.0,La Liga (1),Central America
98,Luxembourg,1,25.0,Bundesliga (1),Europe
99,Philippines,1,30.0,Bundesliga (1),Asia
100,Panama,1,29.0,Ligue 1 (1),Central America
101,Jordan,1,27.0,Ligue 1 (1),Asia
102,Burundi,1,26.0,Ligue 1 (1),Africa
103,Guinea-Bissau,1,29.0,Ligue 1 (1),Africa
104,French Guiana,1,32.0,Ligue 1 (1),South America
105,Kenya,1,28.0,Ligue 1 (1),Africa
